Date, SF[1-1], SF[1-2], SF[1-3], SF[1-4], RT[1-1], RT[1-2], RT[1-3], RT[1-4], 
2019-08-21 14:12:11, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:12:51, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:13:31, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:14:11, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:14:51, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:15:31, 0, 0, 0, 0, 0, 0, 0, 0, 
2019-08-21 14:16:59, 175865.5, 486466.1, 0, 0, 14.03084, 14.04754, 14.03919, 13.99795, 
2019-08-21 14:17:39, 175865.5, 486466.1, 0, 0, 14.02823, 14.04545, 14.0371, 13.99586, 
2019-08-21 14:18:20, 486466.1, 0, 0, 0, 14.02718, 14.04389, 14.03501, 13.9943, 
